Filename,Instance,Assignments,Total_Profit
gap1.txt,1,"[4, 4, 3, 2, 0, 3, 0, 1, 1, 3, 4, 3, 0, 0, 2]",323
gap1.txt,2,"[4, 0, 0, 2, 2, 4, 2, 3, 3, 1, 2, 1, 1, 0, 4]",318
gap1.txt,3,"[1, 1, 4, 2, 3, 3, 4, 0, 0, 1, 3, 0, 2, 4, 0]",321
gap1.txt,4,"[1, 2, 2, 1, 3, 0, 4, 0, 0, 2, 2, 1, 4, 3, 1]",318
gap1.txt,5,"[1, 4, 3, 0, 4, 4, 4, 2, 3, 2, 0, 1, 3, 1, 0]",320
gap2.txt,1,"[3, 4, 0, 3, 0, 4, 1, 3, 0, 3, 2, 1, 2, 4, 0, 1, 2, 3, 1, 0]",421
gap2.txt,2,"[4, 3, 4, 3, 0, 1, 4, 3, 1, 2, 2, 1, 0, 2, 1, 0, 3, 3, 0, 4]",392
gap2.txt,3,"[3, 4, 3, 3, 1, 3, 1, 1, 4, 4, 1, 2, 2, 3, 4, 0, 2, 0, 0, 0]",403
gap2.txt,4,"[3, 0, 2, 2, 3, 3, 3, 2, 4, 0, 0, 2, 4, 4, 4, 1, 1, 2, 3, 1]",399
gap2.txt,5,"[0, 0, 4, 4, 4, 3, 3, 0, 2, 4, 1, 3, 3, 3, 2, 1, 2, 1, 1, 0]",413
gap3.txt,1,"[3, 1, 1, 4, 1, 2, 1, 3, 3, 4, 2, 3, 2, 0, 2, 4, 2, 0, 4, 2, 2, 2, 2, 1, 0]",466
gap3.txt,2,"[2, 2, 2, 4, 4, 4, 1, 2, 3, 0, 0, 4, 2, 0, 0, 0, 0, 4, 1, 3, 3, 1, 1, 2, 1]",527
gap3.txt,3,"[3, 1, 1, 4, 0, 2, 3, 1, 3, 2, 3, 1, 2, 0, 4, 4, 4, 4, 2, 3, 1, 2, 4, 0, 0]",555
gap3.txt,4,"[1, 3, 4, 3, 2, 3, 1, 2, 3, 4, 3, 2, 1, 3, 4, 0, 0, 1, 2, 0, 0, 3, 2, 0, 1]",546
gap3.txt,5,"[3, 4, 1, 4, 4, 3, 4, 3, 3, 0, 0, 1, 3, 2, 2, 0, 1, 4, 1, 0, 0, 1, 1, 2, 2]",528
gap4.txt,1,"[2, 2, 4, 3, 2, 4, 2, 3, 3, 4, 3, 4, 1, 3, 0, 1, 0, 1, 2, 4, 4, 1, 1, 2, 0, 1, 3, 0, 1, 0]",580
gap4.txt,2,"[0, 0, 4, 0, 0, 2, 3, 0, 4, 1, 0, 1, 4, 3, 1, 4, 1, 2, 4, 2, 3, 2, 1, 3, 4, 3, 4, 2, 2, 1]",588
gap4.txt,3,"[4, 1, 3, 1, 3, 3, 3, 1, 3, 0, 2, 3, 0, 4, 2, 0, 3, 1, 4, 0, 4, 2, 1, 2, 2, 1, 4, 4, 1, 2]",579
gap4.txt,4,"[3, 1, 1, 0, 0, 3, 1, 0, 4, 1, 4, 1, 0, 4, 4, 4, 2, 4, 2, 4, 2, 3, 2, 2, 3, 0, 1, 2, 0, 3]",586
gap4.txt,5,"[4, 0, 0, 3, 3, 0, 3, 3, 1, 3, 4, 1, 4, 4, 1, 2, 2, 4, 1, 3, 2, 1, 4, 1, 2, 0, 0, 2, 0, 0]",603
gap5.txt,1,"[0, 1, 5, 3, 6, 1, 3, 7, 2, 2, 1, 6, 0, 0, 4, 5, 6, 4, 5, 6, 5, 3, 7, 1]",537
gap5.txt,2,"[1, 0, 5, 3, 3, 4, 3, 4, 7, 2, 3, 4, 6, 6, 5, 0, 5, 0, 4, 6, 1, 7, 2, 1]",515
gap5.txt,3,"[3, 4, 4, 4, 2, 3, 4, 6, 0, 6, 0, 0, 1, 5, 5, 2, 7, 3, 0, 1, 1, 7, 5, 4]",535
gap5.txt,4,"[0, 4, 2, 4, 3, 6, 6, 3, 0, 2, 5, 4, 5, 3, 2, 7, 2, 6, 7, 1, 0, 5, 0, 1]",549
gap5.txt,5,"[2, 6, 5, 2, 3, 5, 7, 4, 1, 0, 4, 3, 4, 1, 7, 3, 2, 2, 5, 6, 0, 0, 1, 5]",497
gap6.txt,1,"[0, 0, 4, 6, 3, 0, 1, 7, 7, 1, 7, 7, 5, 4, 1, 6, 2, 3, 2, 2, 7, 6, 1, 5, 4, 3, 5, 5, 5, 2, 2, 6]",727
