Filename,Instance,Assignments,Total_Profit
gap1.txt,1,"[4, 1, 2, 3, 0, 3, 0, 1, 0, 1, 3, 4, 4, 0, 2]",306.0
gap1.txt,2,"[2, 0, 0, 2, 2, 4, 3, 1, 3, 1, 2, 1, -1, 0, 4]",290.0
gap1.txt,3,"[1, 4, 1, 3, 2, 2, 1, 0, 0, 1, 3, 4, 0, 3, 0]",318.0
gap1.txt,4,"[1, 4, 2, 4, 4, 0, 0, 1, 1, -1, 2, 2, 3, 3, 1]",301.0
gap1.txt,5,"[2, 4, 3, 3, 1, 4, 4, 2, 2, 1, 0, 1, 3, 4, 0]",296.0
gap2.txt,1,"[3, 4, 0, 3, 2, 2, 1, 2, 0, 2, 0, 4, 3, 0, 1, 1, 3, 3, 1, 0]",406.0
gap2.txt,2,"[4, 2, 4, 3, 0, 2, 0, 1, 4, 2, 4, 1, 1, 1, 3, 1, 3, 2, 3, 0]",400.0
gap2.txt,3,"[2, 0, 0, 2, 3, 1, 2, 1, 4, 4, 1, 2, 3, 3, 0, 2, 0, 3, 0, 4]",383.0
gap2.txt,4,"[3, 0, 2, 2, 3, 3, 3, 2, 0, 2, 1, 2, 4, 0, 1, 4, 4, 0, 3, 1]",376.0
gap2.txt,5,"[1, 4, 0, 4, 0, 1, 1, 0, 2, 4, 1, 3, 4, 3, 3, 3, 2, 1, 3, 0]",399.0
gap3.txt,1,"[4, 1, 0, 3, 0, 4, 2, 0, 2, 3, 2, 4, 0, 3, 0, 0, 1, 2, 2, 0, 3, 3, 4, 2, 4]",540.0
gap3.txt,2,"[3, 2, 2, 4, 4, 3, 3, 3, 1, 0, 0, 4, 1, 4, 0, 3, 0, 0, 1, 2, 1, 3, 4, 4, 1]",514.0
gap3.txt,3,"[3, 3, 0, 0, 0, 3, 2, 1, 4, 4, 0, 3, 2, 0, 1, 4, 3, 2, 1, 3, 3, 0, 1, 1, 2]",521.0
gap3.txt,4,"[1, 3, 4, 0, 2, 1, 4, 2, 3, 1, 3, 2, 0, 3, 2, 0, 3, 1, 3, 4, 0, 3, 1, 0, 1]",517.0
